User;UserID;TweetId;LABEL;Is this a RT?;Is there an URL?;Has it been RT?;Has it been replied?;is it  a reply?;#ofREPLIES;#ofRT;#ofFollowers;#ofFollowings;#ofStatuses
PHUpodcast;1360811516;727269807134003000;NR;YES;YES;NO;NO;NO;0;0;1213;489;735
Medgenera;3135967945;727269707577971000;NR;NO;YES;YES;NO;NO;0;1;211;1200;4452
118Element;4333969875;727267907512766000;R;NO;NO;NO;NO;NO;0;0;142;4;43
KinolaiHealth;3041054075;727266514869477000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
_NetCE;1872924967;727264441478337000;NR;NO;YES;NO;NO;NO;0;0;551;443;439
FP3Pinarello;2269033674;727264041488536000;R;YES;NO;NO;NO;NO;0;0;13753;622;637
FansVsSportsnet;713983269893718000;727263621844197000;R;YES;NO;NO;NO;NO;0;0;3346;1009;4734
RaphiNormandy;725741431831302000;727263347129876000;R;YES;NO;NO;NO;NO;0;0;6;2;34
itsblondielocks;228561162;727263344604774000;R;YES;NO;NO;NO;NO;0;0;30137;551;517
aly_aey;3039518697;727263335591211000;R;YES;NO;NO;NO;NO;0;0;12;7;33
MKLangat;186485330;727262850696143000;R;NO;NO;NO;NO;NO;0;0;25651;375;623
sarahajeel;221343694;727261982672446000;R;YES;NO;NO;NO;NO;0;0;49499;377;169
reem_alomari;349362049;727261276624277000;R;YES;NO;NO;NO;NO;0;0;1014;287;74
UCLACWH;1571012275;727260985728201000;NR;NO;YES;NO;NO;NO;0;0;1525;653;654
Ajmillner;501388138;727259009372291000;R;YES;NO;NO;NO;NO;0;0;20900;329;271
sanetv;15768690;727257588979634000;R;NO;YES;NO;NO;NO;0;0;20469;842;982
MrTypeA;91132402;727256141026189000;R;NO;NO;NO;NO;NO;0;0;2325;79;76
NadiaKEYE;361653331;727256036776649000;R;NO;NO;NO;NO;NO;0;0;10252;3699;1445
Peter_S_Becks1;2391758079;727254894776824000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
FirstCandle;17609361;727254857116180000;NR;YES;YES;NO;NO;NO;0;0;3686;2627;2028
FirstCandle;17609361;727254785901121000;NR;YES;YES;NO;NO;NO;0;0;3686;2627;2028
Peter_S_Becks1;2391758079;727254119568839000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
Peter_S_Becks1;2391758079;727250481270145000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
Markpoetker;58492450;727250239879438000;NR;YES;YES;NO;NO;NO;0;0;4201;257;487
KinolaiHealth;3041054075;727250203971998000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727250203237962000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727250202390712000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727250201249899000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727250200364896000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
Peter_S_Becks1;2391758079;727247833544426000;R;NO;YES;NO;NO;NO;0;0;1045381;6409;5520
MichelsonMedRF;2557286838;727245795913793000;NR;NO;YES;NO;NO;NO;0;0;3506;3658;1541
