tweetID;numberOfRetweet;numberOfFavorites;spam_score;positive_score;negative_score;neutral_score;user_credibility;tweet_rumor_score
796463364650258433;1.00;0.00;0.28;0.01;0.77;0.22;0.54;0.56
796463364633481217;12381.00;0.00;0.00;0.02;0.43;0.56;0.68;0.85
796463364633481216;269.00;0.00;0.00;0.00;0.98;0.02;0.48;0.58
796463364603973632;39.00;0.00;0.00;0.00;0.97;0.03;0.78;0.76
796463364583133184;253.00;0.00;0.00;0.00;0.92;0.07;0.46;0.65
796463364553707520;23714.00;0.00;0.00;0.00;1.00;0.00;0.54;0.73
796463364553617408;0.00;0.00;0.00;0.00;0.98;0.02;0.72;0.66
796463364411162628;8917.00;0.00;0.00;0.01;0.78;0.22;0.44;0.26
796463364402712576;1653.00;0.00;0.00;0.00;1.00;0.00;0.63;0.60
796463364322930688;4924.00;0.00;0.00;0.06;0.85;0.09;0.68;0.71
796463364306325505;174.00;0.00;0.00;0.00;0.90;0.10;0.65;0.83
796463364276965376;292.00;0.00;0.00;0.00;1.00;0.00;0.71;0.80
796463364264361984;19749.00;0.00;0.00;0.00;0.98;0.02;0.65;0.76
796463364251774976;5064.00;0.00;0.00;0.02;0.57;0.41;0.81;0.91
796463364243222528;4.00;0.00;0.00;0.01;0.99;0.00;0.55;0.80
796463364230639616;1.00;0.00;0.00;0.00;1.00;0.00;0.76;0.70
796463364201398273;120.00;0.00;0.00;0.01;0.43;0.56;0.75;0.53
796463364155187200;2280.00;0.00;0.01;0.00;0.93;0.07;0.62;0.63
796463364146872320;39.00;0.00;0.00;0.00;1.00;0.00;0.48;0.62
796463364117385216;76.00;0.00;0.00;0.00;0.99;0.00;0.65;0.78
796463364104921089;1464.00;0.00;0.00;0.05;0.45;0.50;0.60;0.70
796463364029423617;7270.00;0.00;0.00;0.01;0.93;0.07;0.50;0.48
796463363995947008;1861.00;0.00;0.00;0.00;1.00;0.00;0.57;0.68
796463363979026433;35.00;0.00;0.00;0.06;0.94;0.00;0.40;0.87
796463363954003980;2070.00;0.00;0.00;0.28;0.29;0.43;0.40;0.62
796463363945615361;18.00;0.00;0.00;0.00;0.96;0.04;0.63;0.64
796463363941404672;16.00;0.00;0.00;0.01;0.51;0.49;0.55;0.50
796463363886878720;0.00;0.00;0.00;0.00;0.91;0.09;0.53;0.78
796463363874131968;1.00;0.00;0.00;0.00;1.00;0.00;0.55;0.78
796463363870117893;1.00;0.00;0.00;0.00;1.00;0.00;0.87;0.72
796463363865845760;2389.00;0.00;0.00;0.01;0.95;0.04;0.55;0.44
796463363840741380;1162.00;0.00;0.00;0.01;0.97;0.02;0.75;0.53
796463363836547072;85.00;0.00;0.00;0.00;0.86;0.14;0.51;0.63
796463363802939393;273.00;0.00;0.00;0.00;0.97;0.02;0.43;0.20
796463363786231810;1059.00;0.00;0.00;0.00;0.92;0.07;0.65;0.52
796463363773476864;0.00;0.00;0.00;0.01;0.31;0.68;0.41;0.45
796463363769384960;844.00;0.00;0.00;0.01;0.89;0.10;0.56;0.66
796463363765268480;77314.00;0.00;0.00;0.00;1.00;0.00;0.63;0.60
796463363756855297;76.00;0.00;0.00;0.01;0.70;0.29;0.64;0.73
796463363710709761;9030.00;0.00;0.11;0.01;0.80;0.19;0.36;0.20
796463363689566208;1596.00;0.00;0.00;0.00;0.93;0.07;0.57;0.40
796463363668656128;1.00;0.00;0.00;0.01;0.88;0.11;0.71;0.72
796463363664597001;56.00;0.00;0.00;0.01;0.82;0.17;0.66;0.44
796463363643637764;0.00;0.00;0.00;0.00;0.99;0.01;0.66;0.77
796463363639431178;41.00;0.00;0.00;0.00;0.93;0.07;0.67;0.46
796463363601506305;51206.00;0.00;0.00;0.01;0.96;0.04;0.48;0.73
796463363572187136;19776.00;0.00;0.00;0.00;0.98;0.02;0.65;0.76
796463363496689664;0.00;0.00;0.00;0.01;0.78;0.22;0.61;0.69
796463363475832832;0.00;0.00;0.06;0.00;0.98;0.02;0.70;0.76
796463363467440128;0.00;0.00;0.00;0.00;0.96;0.04;0.56;0.93
796463363396161536;0.00;1.00;0.00;0.00;0.92;0.07;0.64;0.55
796463363370942464;0.00;0.00;0.00;0.00;0.99;0.00;0.74;0.79
796463363362615297;0.00;0.00;0.00;0.00;1.00;0.00;0.56;0.68
796463363350024198;0.00;0.00;0.00;0.00;0.97;0.03;0.67;0.57
796463363337420801;18270.00;0.00;0.02;0.01;0.78;0.22;0.46;0.26
796463363320672256;1.00;1.00;0.00;0.01;0.38;0.61;0.59;0.90
796463363312275462;1.00;0.00;0.00;0.01;0.91;0.08;0.53;0.22
796463363299622912;32398.00;0.00;0.00;0.00;1.00;0.00;0.53;0.61
796463363291316224;7790.00;0.00;0.00;0.05;0.95;0.01;0.67;0.70
796463363270189056;59.00;0.00;0.00;0.01;0.78;0.22;0.29;0.29
796463363266146304;6367.00;0.00;0.01;0.01;0.95;0.05;0.49;0.23
796463363194753025;8793.00;0.00;0.00;0.05;0.95;0.01;0.57;0.71
796463363165278208;2.00;0.00;0.00;0.00;0.79;0.21;0.62;0.88
796463363161210884;385.00;0.00;0.00;0.03;0.09;0.88;0.66;0.58
796463363148697600;78.00;0.00;0.00;0.00;0.98;0.02;0.36;0.53
796463363148627968;81.00;0.00;0.00;0.00;0.91;0.08;0.48;0.71
796463363144515584;6.00;0.00;0.00;0.01;0.78;0.22;0.51;0.37
796463363144433666;0.00;0.00;0.00;0.01;0.99;0.00;0.78;0.77
796463363119337475;21.00;0.00;0.01;0.01;0.85;0.14;0.73;0.27
796463363052228612;4.00;0.00;0.00;0.00;0.97;0.03;0.79;0.76
796463363052081152;845.00;0.00;0.00;0.01;0.78;0.22;0.60;0.28
796463363039645698;21207.00;0.00;0.00;0.00;0.87;0.13;0.49;0.26
796463362972360704;32432.00;0.00;0.00;0.00;0.97;0.03;0.64;0.84
796463362938847233;0.00;0.00;0.00;0.00;1.00;0.00;0.81;0.80
796463362909544448;8983.00;0.00;0.00;0.02;0.95;0.03;0.44;0.49
796463362875867136;1.00;0.00;0.00;0.07;0.89;0.04;0.58;0.50
796463362846531584;190.00;0.00;0.00;0.02;0.09;0.90;0.64;0.79
796463362842513409;1072.00;0.00;0.00;0.00;0.92;0.07;0.59;0.52
796463362829742080;6662.00;0.00;0.00;0.00;0.99;0.00;0.53;0.70
796463362808934404;114.00;0.00;0.00;0.00;0.82;0.18;0.53;0.42
796463362808877056;268.00;0.00;0.00;0.00;1.00;0.00;0.62;0.89
796463362804621312;933.00;0.00;0.00;0.00;0.98;0.02;0.43;0.28
796463362766962688;2.00;0.00;0.00;0.00;1.00;0.00;0.71;0.88
796463362754433024;2096.00;0.00;0.00;0.01;0.82;0.17;0.48;0.71
796463362741850112;19044.00;0.00;0.00;0.00;1.00;0.00;0.61;0.74
796463362716602368;20.00;0.00;0.00;0.00;0.81;0.19;0.71;0.32
796463362704109568;26743.00;0.00;0.00;0.04;0.74;0.22;0.45;0.30
796463362695712777;37298.00;0.00;0.00;0.00;0.98;0.02;0.53;0.71
796463362695630848;3774.00;0.00;0.00;0.01;0.78;0.22;0.49;0.17
796463362657964033;16345.00;0.00;0.00;0.01;0.33;0.67;0.53;0.18
796463362603237376;46718.00;0.00;0.00;0.00;0.83;0.16;0.47;0.70
796463362590855168;15128.00;0.00;0.00;0.02;0.30;0.68;0.69;0.60
796463362574061568;0.00;0.00;0.00;0.00;1.00;0.00;0.71;0.93
796463362561314816;0.00;0.00;0.11;0.01;0.69;0.31;0.50;0.57
796463362553024513;77390.00;0.00;0.00;0.00;1.00;0.00;0.53;0.60
796463362536140800;5117.00;0.00;0.00;0.02;0.57;0.41;0.70;0.91
796463362523725824;141.00;0.00;0.00;0.00;0.98;0.02;0.69;0.71
796463362519560192;168.00;0.00;0.00;0.00;0.74;0.25;0.66;0.62
796463362494308352;2.00;0.00;0.00;0.00;0.83;0.17;0.54;0.29
796463362456649728;0.00;0.00;0.06;0.00;1.00;0.00;0.50;0.50
796463362456621056;2.00;0.00;0.00;0.00;1.00;0.00;0.60;0.32
796463362418900993;39.00;0.00;0.00;0.01;0.84;0.15;0.64;0.53
796463362402029568;333.00;0.00;0.00;0.00;0.03;0.97;0.48;0.75
796463362343215104;26953.00;0.00;0.00;0.00;0.91;0.08;0.61;0.69
796463362301448192;0.00;0.00;0.00;0.01;0.99;0.00;0.67;0.63
796463362284593154;13.00;0.00;0.00;0.00;0.99;0.00;0.65;0.74
796463362259480580;0.00;0.00;0.00;0.00;1.00;0.00;0.52;0.79
796463362259333120;0.00;0.00;0.00;0.06;0.12;0.82;0.71;0.55
796463362221686785;652.00;0.00;0.00;0.00;0.92;0.08;0.66;0.83
796463362217562112;12.00;0.00;0.00;0.62;0.30;0.08;0.73;0.88
796463362158669824;736.00;0.00;0.00;0.00;0.99;0.01;0.45;0.67
796463362087403520;6.00;0.00;0.00;0.26;0.72;0.02;0.65;0.65
796463361965912065;0.00;0.00;0.00;0.00;0.87;0.13;0.76;0.93
796463361869291521;174.00;0.00;0.00;0.00;0.66;0.33;0.51;0.57
796463361772883969;28.00;0.00;0.00;0.00;0.99;0.01;0.67;0.62
796463361764556800;3603.00;0.00;0.14;0.00;0.98;0.02;0.51;0.34
796463361747722241;4.00;0.00;0.00;0.00;1.00;0.00;0.72;0.81
796463361710026753;59.00;0.00;0.00;0.00;1.00;0.00;0.74;0.77
796463361672220672;16.00;0.00;0.00;0.01;0.87;0.12;0.53;0.77
796463361672126464;828.00;0.00;0.00;0.01;0.79;0.20;0.70;0.70
796463361659699200;91623.00;0.00;0.00;0.05;0.95;0.01;0.54;0.58
796463361651331080;1.00;0.00;0.00;0.00;0.95;0.04;0.68;0.58
796463361642954752;0.00;0.00;0.00;0.00;1.00;0.00;0.73;0.62
796463361613512704;1719.00;0.00;0.00;0.00;0.99;0.01;0.56;0.52
796463361575817216;3908.00;0.00;0.00;0.01;0.78;0.22;0.64;0.09
796463361559056384;0.00;0.00;0.00;0.00;0.23;0.77;0.78;0.93
796463361504514049;126.00;0.00;0.09;0.01;0.88;0.12;0.72;0.53
796463361500258313;307.00;0.00;0.00;0.04;0.90;0.07;0.62;0.84
796463361491947520;385.00;0.00;0.00;0.03;0.09;0.88;0.62;0.58
796463361487753218;46.00;0.00;0.00;0.00;0.90;0.10;0.54;0.32
796463361479340032;50531.00;0.00;0.00;0.00;0.86;0.13;0.61;0.54
796463361470976000;32289.00;0.00;0.00;0.00;0.98;0.02;0.48;0.60
796463361403785216;17776.00;0.00;0.00;0.01;0.99;0.00;0.48;0.66
796463361374507015;36040.00;0.00;0.00;0.01;0.94;0.05;0.44;0.54
796463361332420609;80.00;0.00;0.01;0.01;0.78;0.22;0.59;0.21
796463361319981057;29745.00;0.00;0.00;0.00;0.98;0.02;0.65;0.76
796463361256931328;0.00;0.00;0.00;0.00;0.94;0.05;0.69;0.87
796463361223495680;2117.00;0.00;0.00;0.01;0.78;0.22;0.36;0.18
796463361194151938;0.00;0.00;0.00;0.52;0.34;0.14;0.49;0.26
796463361185763334;0.00;0.00;0.00;0.00;0.91;0.09;0.71;0.92
796463361173180420;0.00;0.00;0.00;0.00;1.00;0.00;0.60;0.95
796463361127043077;0.00;0.00;0.00;0.00;1.00;0.00;0.70;0.89
796463361127026688;0.00;0.00;0.00;0.00;0.92;0.07;0.71;0.67
796463361118633985;37298.00;0.00;0.00;0.00;0.98;0.02;0.57;0.71
796463361110212608;732.00;0.00;0.00;0.00;1.00;0.00;0.77;0.60
796463361110077440;1438.00;0.00;0.02;0.00;0.94;0.06;0.68;0.46
796463361089269760;0.00;0.00;0.00;0.01;0.90;0.09;0.66;0.63
796463361084903425;0.00;0.00;0.02;0.01;0.86;0.13;0.60;0.67
796463361068244992;11.00;16.00;0.00;0.09;0.50;0.42;0.58;0.41
796463361059852288;1.00;1.00;0.00;0.00;0.99;0.00;0.73;0.86
796463361047281664;15.00;0.00;0.00;0.00;0.98;0.02;0.57;0.66
796463361043165184;3902.00;0.00;0.00;0.00;0.87;0.13;0.65;0.38
796463361026191360;32441.00;0.00;0.00;0.00;1.00;0.00;0.71;0.61
796463361009586176;0.00;0.00;0.00;0.00;1.00;0.00;0.58;0.94
796463360971837440;3800.00;0.00;0.00;0.01;0.89;0.10;0.58;0.75
796463360942477312;1932.00;0.00;0.00;0.00;1.00;0.00;0.69;0.75
796463360858607619;1.00;0.00;0.00;0.19;0.77;0.05;0.63;0.84
796463360850042880;0.00;1.00;0.00;0.00;0.96;0.04;0.75;0.85
796463360837648385;93.00;0.00;0.00;0.00;1.00;0.00;0.68;0.68
796463360825053184;17.00;0.00;0.00;0.00;1.00;0.00;0.67;0.67
796463360812445696;6938.00;0.00;0.02;0.00;0.92;0.08;0.66;0.67
796463360808275970;188.00;0.00;0.00;0.01;0.78;0.22;0.60;0.31
796463360770457601;0.00;0.00;0.00;0.01;0.78;0.22;0.39;0.47
796463360720113664;3097.00;0.00;0.00;0.00;0.99;0.01;0.79;0.72
796463360715853824;14961.00;0.00;0.00;0.01;0.78;0.22;0.43;0.60
796463360653004800;0.00;0.00;0.00;0.01;0.28;0.71;0.61;0.66
796463360644628482;77498.00;0.00;0.00;0.00;1.00;0.00;0.63;0.60
796463360615337986;2039.00;0.00;0.00;0.01;0.77;0.22;0.59;0.59
796463360606867465;382.00;0.00;0.94;0.01;0.75;0.23;0.47;0.32
796463360577564673;0.00;0.00;0.00;0.01;0.78;0.22;0.48;0.34
796463360544034816;0.00;0.00;0.00;0.01;0.99;0.00;0.71;0.98
796463360531316737;12.00;0.00;0.00;0.00;1.00;0.00;0.60;0.78
796463360527257601;0.00;1.00;0.00;0.21;0.62;0.17;0.69;0.72
796463360522874880;0.00;0.00;0.00;0.01;0.31;0.68;0.67;0.76
796463360418217984;1.00;0.00;0.00;0.00;1.00;0.00;0.59;0.61
796463360409817090;1911.00;0.00;0.00;0.00;1.00;0.00;0.68;0.67
796463360376127488;2.00;0.00;0.00;0.03;0.24;0.73;0.62;0.90
796463360367730688;0.00;0.00;0.00;0.05;0.35;0.60;0.69;0.86
796463360367685632;51221.00;0.00;0.00;0.01;0.96;0.04;0.68;0.73
796463360355303426;22.00;0.00;0.00;0.01;0.96;0.03;0.57;0.64
796463360355291140;91359.00;0.00;0.00;0.00;0.99;0.01;0.67;0.77
796463360351096838;8908.00;0.00;0.00;0.01;0.89;0.10;0.64;0.43
796463360342573056;664.00;0.00;0.00;0.00;1.00;0.00;0.43;0.26
796463360313331716;360.00;0.00;0.00;0.01;0.86;0.13;0.49;0.54
796463360292323329;373.00;0.00;0.00;0.00;0.99;0.01;0.55;0.76
796463360288104448;0.00;0.00;0.00;0.01;0.99;0.00;0.75;0.70
796463360283815936;0.00;0.00;0.00;0.00;0.97;0.03;0.57;0.73
796463360283811840;859.00;0.00;0.00;0.01;0.98;0.01;0.68;0.62
796463360267190276;0.00;0.00;0.00;0.03;0.85;0.12;0.51;0.88
796463360258805761;657.00;0.00;0.00;0.01;0.78;0.22;0.48;0.21
796463360237850631;17786.00;0.00;0.00;0.01;0.99;0.00;0.59;0.66
796463360233656320;8.00;0.00;0.00;0.00;0.97;0.03;0.57;0.74
