Is this a RT?;Has it been RT?;is it  a reply?;#ofRT;#ofWords;#ofChars;#ofwhiteSpaces;#ofHastags;#ofAts;#ofLower;#ofUpper;LABEL
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;18;134;17;6;0;88;15;NR
YES;NO;NO;0;16;142;15;5;1;81;14;R
NO;NO;NO;0;10;93;9;4;0;58;13;NR
NO;NO;NO;0;14;108;13;2;0;68;19;NR
NO;NO;NO;0;7;68;6;2;0;43;11;NR
NO;NO;YES;0;10;99;9;2;3;74;9;R
NO;NO;NO;0;17;136;16;2;0;85;22;NR
NO;NO;NO;0;16;136;15;2;0;88;18;R
NO;NO;NO;0;15;136;14;2;0;92;13;NR
NO;NO;NO;0;19;136;18;2;0;77;26;NR
YES;NO;NO;0;18;142;17;1;1;96;13;NR
NO;NO;NO;0;20;136;19;1;1;96;10;NR
YES;NO;NO;0;25;142;25;2;1;97;10;R
NO;NO;NO;0;12;128;11;6;2;84;13;R
NO;NO;NO;0;14;104;14;3;1;56;22;R
NO;NO;NO;0;20;132;19;1;0;93;10;NR
NO;NO;NO;0;17;119;16;2;0;92;6;R
YES;NO;NO;0;21;142;20;1;1;102;7;NR
YES;NO;NO;0;16;142;18;2;2;82;24;NR
YES;NO;NO;0;12;119;12;3;1;79;14;R
YES;NO;NO;0;15;142;15;3;2;97;14;NR
NO;NO;NO;0;19;138;18;3;1;107;7;R
NO;NO;NO;0;13;106;12;1;0;72;14;NR
YES;NO;NO;0;21;142;20;1;1;102;7;NR
NO;YES;NO;16;19;135;18;1;0;98;10;NR
NO;YES;NO;2;14;129;16;2;1;78;21;NR
YES;NO;NO;0;16;123;16;3;2;64;24;R
YES;NO;NO;0;20;142;19;1;2;67;27;R
NO;NO;NO;0;19;140;18;3;0;99;12;R
NO;NO;NO;0;20;138;19;2;0;106;8;R
NO;NO;NO;0;13;107;13;4;0;70;11;NR
YES;NO;NO;0;19;142;19;3;2;95;10;R
NO;YES;NO;1;17;128;17;3;1;92;6;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;16;142;15;1;1;86;19;NR
NO;YES;YES;1;22;140;21;1;1;63;31;R
NO;YES;NO;1;14;106;14;3;1;59;20;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;12;132;11;2;3;80;21;NR
NO;NO;NO;0;16;127;15;2;0;87;16;R
NO;NO;NO;0;10;67;9;1;0;47;7;R
YES;NO;NO;0;21;142;20;2;2;92;14;R
NO;NO;NO;0;17;138;16;4;0;94;10;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;YES;NO;1;9;79;8;1;0;52;8;NR
NO;NO;NO;0;14;104;14;3;1;57;21;R
NO;NO;NO;0;20;138;19;3;1;96;12;NR
NO;NO;NO;0;14;107;13;1;0;81;4;R
NO;NO;NO;0;14;106;14;3;1;57;20;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;9;81;10;1;0;58;4;NR
YES;NO;NO;0;21;142;20;2;2;92;14;R
YES;NO;NO;0;21;142;20;2;2;92;14;R
NO;NO;NO;0;15;136;14;2;0;99;8;R
NO;NO;NO;0;16;136;15;2;0;87;19;NR
YES;NO;NO;0;14;142;13;4;2;97;15;NR
NO;YES;NO;2;14;104;14;3;1;57;21;R
YES;NO;NO;0;18;142;17;2;1;85;15;NR
YES;NO;NO;0;18;142;17;1;1;96;13;R
NO;NO;NO;0;17;135;16;1;0;87;16;R
YES;NO;NO;0;17;131;18;3;3;73;23;R
YES;NO;NO;0;23;142;22;1;1;101;9;NR
NO;NO;NO;0;17;141;17;3;0;95;13;NR
NO;NO;NO;0;14;126;13;2;0;80;15;NR
NO;NO;NO;0;16;128;15;2;0;86;16;NR
NO;NO;NO;0;16;111;15;1;0;79;7;R
NO;YES;NO;1;14;132;13;1;0;85;15;NR
NO;NO;NO;0;14;135;13;2;0;95;14;NR
NO;NO;NO;0;15;121;14;3;1;81;12;NR
NO;NO;NO;0;14;142;15;1;0;76;22;NR
YES;NO;NO;0;16;124;16;3;2;63;29;R
NO;NO;NO;0;13;122;14;2;0;78;13;R
YES;NO;NO;0;17;142;17;3;2;71;29;R
NO;NO;NO;0;15;119;14;2;0;72;15;R
NO;YES;NO;1;13;135;12;5;1;99;11;NR
NO;NO;NO;0;8;81;7;1;1;48;12;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;15;142;16;1;0;72;23;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;93;9;1;0;65;9;R
NO;NO;NO;0;15;136;14;2;0;90;17;NR
NO;NO;NO;0;14;136;13;2;0;100;10;NR
NO;NO;NO;0;16;136;15;2;0;88;19;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;9;79;8;1;1;45;17;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;YES;NO;1;15;118;16;3;2;68;21;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;142;17;3;2;71;29;R
YES;NO;NO;0;16;122;16;3;2;63;29;R
YES;NO;NO;0;20;142;19;3;2;86;20;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
NO;NO;NO;0;18;132;17;2;0;89;17;R
NO;NO;NO;0;14;106;14;3;1;56;19;R
NO;NO;NO;0;15;119;15;4;1;67;21;R
YES;NO;NO;0;16;124;16;3;2;63;29;R
NO;YES;NO;3;14;106;14;3;1;57;22;R
YES;NO;NO;0;18;142;17;2;1;85;15;NR
YES;NO;NO;0;10;94;9;1;1;61;11;R
YES;NO;NO;0;17;144;17;3;2;71;29;R
NO;NO;NO;0;11;89;10;2;0;64;5;NR
